stock_code,instrument_name,previous_market_code,previous_listing_date,current_api_present,listing_status,delisting_date,evidence_type,evidence_date,evidence_reference,evidence_hash,verification_result,review_note
950200,소마젠,KRX_KOSDAQ,2020-07-13,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
136510,스마트솔루션즈,KRX_KOSDAQ,2011-11-18,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
204630,스튜디오산타클로스,KRX_KOSDAQ,2014-12-29,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
139050,시티랩스,KRX_KOSDAQ,2011-07-29,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
344050,신영스팩6호,KRX_KOSDAQ,2020-02-12,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
419270,신영스팩7호,KRX_KOSDAQ,2022-04-28,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
430220,신영스팩8호,KRX_KOSDAQ,2022-08-26,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
445970,신영스팩9호,KRX_KOSDAQ,2022-12-27,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
418210,신한제10호스팩,KRX_KOSDAQ,2022-07-29,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
366330,신한제7호스팩,KRX_KOSDAQ,2021-02-04,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
393360,신한제8호스팩,KRX_KOSDAQ,2021-09-27,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
405640,신한제9호스팩,KRX_KOSDAQ,2022-04-27,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
023460,CNH,KRX_KOSDAQ,1994-10-07,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
058220,아리온,KRX_KOSDAQ,2005-08-05,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
351340,IBKS제13호스팩,KRX_KOSDAQ,2020-07-15,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
405350,IBKS제17호스팩,KRX_KOSDAQ,2022-02-18,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
426550,IBKS제19호스팩,KRX_KOSDAQ,2022-08-26,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
