source_market,source_record_index,source_identifier,stock_code,instrument_name,raw_security_type,normalized_security_type,included_in_stock_service,exclusion_reason,duplicate_group,listing_date_raw,listing_date_normalized,validation_result
KOSDAQ,1628,KR7109670000,109670,씨싸이트,주권,COMMON,TRUE,,,20231221,2023-12-21,VALID
KOSDAQ,1629,KR7066790007,066790,씨씨에스,주권,COMMON,TRUE,,,20030530,2003-05-30,VALID
KOSDAQ,1630,KR7352480008,352480,씨앤씨인터내셔널,주권,COMMON,TRUE,,,20210517,2021-05-17,VALID
KOSDAQ,1631,KR7264660002,264660,씨앤지하이테크,주권,COMMON,TRUE,,,20180125,2018-01-25,VALID
KOSDAQ,1632,KR7352700009,352700,씨앤투스,주권,COMMON,TRUE,,,20210128,2021-01-28,VALID
KOSDAQ,1633,KR7056730005,056730,CNT85,주권,COMMON,TRUE,,,20020104,2002-01-04,VALID
KOSDAQ,1634,KR7458870003,458870,씨어스,주권,COMMON,TRUE,,,20240619,2024-06-19,VALID
KOSDAQ,1635,KR7065770000,065770,CS,주권,COMMON,TRUE,,,20040604,2004-06-04,VALID
KOSDAQ,1636,KR7297090003,297090,씨에스베어링,주권,COMMON,TRUE,,,20191121,2019-11-21,VALID
KOSDAQ,1637,KR7083660001,083660,CSA 코스믹,주권,COMMON,TRUE,,,20060725,2006-07-25,VALID
KOSDAQ,1638,KYG2114A1094,900120,씨엑스아이,외국주권,COMMON,TRUE,,,20100331,2010-03-31,VALID
KOSDAQ,1639,KR7359090008,359090,씨엔알리서치,주권,COMMON,TRUE,,,20200923,2020-09-23,VALID
KOSDAQ,1640,KR7115530008,115530,씨엔플러스,주권,COMMON,TRUE,,,20111102,2011-11-02,VALID
KOSDAQ,1641,KR7388210007,388210,씨엠티엑스,주권,COMMON,TRUE,,,20251120,2025-11-20,VALID
KOSDAQ,1642,KR7115480006,115480,씨유메디칼,주권,COMMON,TRUE,,,20111215,2011-12-15,VALID
KOSDAQ,1643,KR7376290003,376290,씨유테크,주권,COMMON,TRUE,,,20211008,2021-10-08,VALID
KOSDAQ,1644,KR7189330004,189330,씨이랩,주권,COMMON,TRUE,,,20210224,2021-02-24,VALID
KOSDAQ,1645,KR7311690002,311690,CJ 바이오사이언스,주권,COMMON,TRUE,,,20191226,2019-12-26,VALID
KOSDAQ,1646,KR7035760008,035760,CJ ENM,주권,COMMON,TRUE,,,19991123,1999-11-23,VALID
KOSDAQ,1647,KR7051500007,051500,CJ프레시웨이,주권,COMMON,TRUE,,,20010726,2001-07-26,VALID
KOSDAQ,1648,KR7096530001,096530,씨젠,주권,COMMON,TRUE,,,20100910,2010-09-10,VALID
KOSDAQ,1649,KR7083790006,083790,CG인바이츠,주권,COMMON,TRUE,,,20060106,2006-01-06,VALID
KOSDAQ,1650,KR7101240000,101240,씨큐브,주권,COMMON,TRUE,,,20111108,2011-11-08,VALID
KOSDAQ,1651,KR7060590007,060590,씨티씨바이오,주권,COMMON,TRUE,,,20020221,2002-02-21,VALID
KOSDAQ,1652,KR7260930003,260930,씨티케이,주권,COMMON,TRUE,,,20171207,2017-12-07,VALID
KOSDAQ,1653,KR7413630005,413630,씨피시스템,주권,COMMON,TRUE,,,20220331,2022-03-31,VALID
KOSDAQ,1654,KR7013990007,013990,아가방컴퍼니,주권,COMMON,TRUE,,,20020117,2002-01-17,VALID
KOSDAQ,1655,KR7175140003,175140,아고스,주권,COMMON,TRUE,,,20150923,2015-09-23,VALID
KOSDAQ,1656,KR7123860009,123860,아나패스,주권,COMMON,TRUE,,,20101105,2010-11-05,VALID
KOSDAQ,1657,KR7025980004,025980,아난티,주권,COMMON,TRUE,,,19960106,1996-01-06,VALID
KOSDAQ,1658,KR70015N0000,0015N0,아로마티카,주권,COMMON,TRUE,,,20251127,2025-11-27,VALID
