market,source_short_code,source_standard_code,source_name,source_security_type,matched_instrument_id,match_method,result,reason_code
KRX_KOSPI,005257,005257,녹십자홀딩스2우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,005250,005250,녹십자홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,004370,004370,농심,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,072710,072710,농심홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,058730,058730,다스코,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,030210,030210,다올투자증권,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,023590,023590,다우기술,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,145210,145210,다이나믹디자인,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,483650,483650,달바글로벌,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,019680,019680,대교,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,019685,019685,대교우B,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,006370,006370,대구백화점,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,00806K,00806K,대덕1우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,008060,008060,대덕,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,353200,353200,대덕전자,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,35320K,35320K,대덕전자1우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000490,000490,대동,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,005750,005750,대림바스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,006570,006570,대림통상,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001685,001685,대상우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001680,001680,대상,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,084695,084695,대상홀딩스우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,084690,084690,대상홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,128820,128820,대성산업,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,117580,117580,대성에너지,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,016710,016710,대성홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,0030R0,0030R0,대신밸류리츠,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003545,003545,대신증권우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
